what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948692862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948714831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948719534
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1353948720581
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1353948738830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948738846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948740580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948741690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948742877
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1353948745299
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1353948745487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948748487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948749518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353948753830
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1353948755596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948756580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948757752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948758940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948762627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353948765533
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1353948766268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353948767236
